Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EngagementScore,TimeSinceLastPromotion,JobSatisfaction,OvertimeHours,BurnoutRisk,CommuteTime,FlexibleWorkEligibility,SkillDemandScore,DiversityIndex,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionRiskIndex
50,Yes,Travel_Frequently,1336,Research & Development,2,44,8,2,22,97,59,No,4,0.5758003222958267,2,Technical Degree,1,1,3,Female,26,3,4,Sales Executive,Single,13509.0,17552,8,Y,No,23,1,3,40,3,6,2,2,5,5,12,10,22.248739495798322
36,Yes,Travel_Rarely,248,Sales,17,43,9,2,9,84,68,No,3,0.36231502573043406,1,Human Resources,1,2,2,Female,58,3,2,Laboratory Technician,Single,17109.0,14718,9,Y,Yes,20,3,4,40,1,39,2,4,4,9,6,6,4.9714285714285715
29,No,Travel_Rarely,683,Sales,8,74,8,1,12,68,93,No,4,0.6812222682553052,4,Technical Degree,1,3,1,Male,85,1,3,Laboratory Technician,Divorced,4419.0,19713,9,Y,No,14,3,4,40,1,16,3,2,15,5,4,11,14.834453781512604
42,Yes,Travel_Rarely,1226,Sales,22,39,9,1,10,92,22,No,1,0.6105157872996132,2,Other,1,4,2,Male,99,1,4,Manager,Married,2107.0,24758,9,Y,Yes,19,2,2,40,3,1,3,2,11,6,4,9,25.85546218487395
40,No,Travel_Rarely,1306,Sales,29,34,4,4,26,33,28,No,3,0.46171031782005356,3,Other,1,5,3,Female,82,1,3,Laboratory Technician,Divorced,,12675,9,Y,No,24,3,2,40,0,3,4,3,6,0,3,3,33.870588235294115
44,No,Travel_Rarely,604,Sales,9,96,5,4,22,57,117,No,1,0.36586152004799155,2,Life Sciences,1,6,4,Female,13,3,4,Laboratory Technician,Married,14632.0,11365,7,Y,No,19,4,4,40,2,17,2,3,12,1,14,9,3.294957983193277
32,Yes,Travel_Rarely,624,Sales,21,41,8,2,18,70,88,No,2,0.31388895868793565,4,Life Sciences,1,7,1,Female,50,2,2,Laboratory Technician,Single,2851.0,10782,5,Y,Yes,17,3,1,40,2,3,4,3,12,7,8,4,4.321848739495799
32,Yes,Non-Travel,874,Sales,8,48,3,1,0,74,47,Yes,4,0.9045435185718249,4,Marketing,1,8,1,Male,72,2,4,Sales Executive,Single,14955.0,24140,3,Y,No,18,3,4,40,1,9,4,3,11,1,3,5,14.718487394957982
45,Yes,Travel_Frequently,1147,Human Resources,23,31,3,2,20,72,36,Yes,1,0.9512994571434029,2,Human Resources,1,9,2,Female,24,3,1,Manager,Married,15390.0,19553,7,Y,Yes,21,1,2,40,3,28,1,4,2,8,0,9,35.19075630252101
57,Yes,Travel_Rarely,800,Sales,11,40,8,1,25,97,115,Yes,4,0.8551454437461402,1,Human Resources,1,10,1,Male,33,4,4,Manager,Single,15071.0,17990,4,Y,No,24,2,2,40,3,9,4,1,9,7,3,0,13.389915966386555
